"The 42nd (East Lancashire) Division 1914-1918, by Frederick P. Gibbon",73544
"Parish life in mediæval England, by Francis Aidan Gasquet",73543
"Out of the blue, by Bertrand W. Sinclair",73542
"Into the blue, by F. Britten Austin",73541
"The planet of shame, by Bruce Elliott",73540
"The kink, by Thomson Burtis",73536
"Beginners' botany, by Liberty Hyde Bailey",73531
"Ready, aye ready!, by Agnes Giberne",73528
"Messiah, by Gore Vidal",73527
"Then luck came in, by Andrew A. Caffrey",73525
"Five Nights at the Five Pines, by Avery Gaul",73520
"The works of the Rev. John Wesley, Vol. 10 of 32, by John Wesley",73519
"The strange people, by Murray Leinster",73515
"The adventures of Captain O'Shea, by Ralph Delahaye Paine",73510
"Empty chairs, by Squire Bancroft",73506
"Salute, by Thomson Burtis",73505
"The abysmal invaders, by Edmond Hamilton",73504
"The National Magazine, Vol. 15, No. 1, November 1891, by Various",73503
"Peter Merton's private mint, by Lee Archer",73497
"An eye for the ladies, by Darius John Granger",73496
"The man who knew everything, by Randall Garrett",73495
"History of the Moorish Empire in Europe, Vol. 3 of 3, by S. P. Scott",73492
"Love in chief, by Rose Kirkpatrick Weekes",73491
"The blowing away of Mr. Bushy Tail, by Edith B. Davidson",73490
"The Æneid of Virgil translated into English prose, by Virgil",73488
"The Delinquent, Vol. 4, No. 7, July, 1914, by Various",73487
"The lucky little stiff, by H. P. S. Greene",73484
"Plane Jane, by Frederick C. Davis",73483
"The terrors of the upper air, by Frank Orndorff",73477
"The subaltern, by George Robert Gleig",73476
"The Bishop's purse, by Cleveland Moffett and Oliver Herford",73472
"The doctor, &c., vol. 7 of 7, by Robert Southey",73470
"Nerve enough, by Richard Howells Watkins",73469
"Code, by L. Paul",73468
"Sailing ships, by Edward Keble Chatterton",73464
"The girl from Samarcand, by E. Hoffman Price",73463
"The tenderfoots, by Francis Lynde",73462
"Perseus, or of dragons, by Henry Folliott Scott Stokes",73461
"Arctic angels, by A. DeHerries Smith",73460
"Plastic and cosmetic surgery, by Frederick Strange Kolle",73452
"The star-stealers, by Edmond Hamilton",73442
"Fan Fare, May 1953, by W. Paul Ganley",73441
"The untouchable adolescents, by Ellis Hart",73433
"Death of a mutant, by Charles V. De Vet",73431
"A voyage round the world, by Louis-Antoine de Bougainville",73429
"The sea horror, by Edmond Hamilton",73428
"Elements of agricultural chemistry and geology, by Jas. F. W. Johnston",73427
The Autobiography of Arthur Young,73426
"The Guermantes Way, by Marcel Proust",73425
"Research methods in ecology, by Frederic Edward Clements",73420
"The works of the Rev. John Wesley, Vol. 9 of 32",73419
"Myths of the Modocs, by Jeremiah Curtin",73418
"Of no account, by Ruth Lamb",73416
"Doctor Dolittle in the Moon, by Hugh Lofting",73411
"Colour vision, by W. de W. Abney",73410
"Camion Cartoons, by Kirkland H. Day",73407
"Fortune, by J. C. Snaith",73402
"Travels in the East Indian archipelago, by Albert Smith Bickmore",73398
"Illustrations of the birds of Jamaica, by Philip Henry Gosse",73392
"The birds of Jamaica, by Philip Henry Gosse",73391
"Little rays of moonshine, by A. P. Herbert",73390
"Woman's touch, by Evelyn E. Smith",73385
"The great illusion, by Manly Bannister",73383
"Into the fourth dimension, by Ray Cummings",73382
"The Black Cat, Vol. 1, No. 7, April 1896, by Various",73381
"The people of the ruins, by Edward Shanks",73376
"30-day wonder, by Richard Wilson",73375
"Alpine notes and the climbing foot, by George Wherry",73368
"The Chevalier's daughter, by Lucy Ellen Guernsey",73365
"Akhnaton, King of Egypt, by Dmitri Merezhkovsky",73364
"Stars and atoms, by Arthur Stanley Eddington",73362
"Classified object, by John Victor Peterson",73358
"No star's land, by William Morrison",73357
"Too close to the forest, by Bryce Walton and Al Reynolds",73356
"The deadly ones, by F. L. Wallace",73355
"A world to die for, by Sam Carson",73354
"The works of the Rev. John Wesley, Vol. 8 of 32,",73353
"The heel of Achilles, by E. M. Delafield",73352
"Mr. Loneliness, by Henry Slesar",73351
"The copper box, by J. S. Fletcher",73344
"Worthy of his name, by Eglanton Thorne",73340
"What books to lend and what to give, by Charlotte Mary Yonge",73339
"Beginners' zoology, by Walter M. Coleman",73338
"Aberdeenshire, by Alexander Mackie",73335
"Taken or left, by Mrs. O. F. Walton",73331
"Mr. Caxton draws a Martian bird, by Frank Belknap Long",73326
"A crown of straw, by Allen Upward",73325
"Sun and moon, by Vincent H. Gowen",73324
"Soissons Before and During the War, by Michelin & Cie",73323
"When everybody knew, by Raymond S. Spears",73315
"The celestial blueprint, by Philip Jose Farmer",73314
"Battleground, by Lester del Rey",73313
"Voyages of the Dutch brig of war Dourga, by Dirk Hendrik Kolff",73305
"Tongues of the Moon, by Philip Jose Farmer",73304
"Four girls of forty years ago, by Nina Rhoades",73301
"Hystereo, by Maurice Baudin",73296
"Lord Peter views the body, by Dorothy L. Sayers",73295
"Japanese folk stories and fairy tales, by Mary F. Nixon-Roulet",73293
"Letters from the peninsula, 1808-1812, by William Warre",73292
"In two years' time, Vol. 1 of 2, by Ada Cambridge",73287
"The city, by Robert E. Park, Ernest W. Burgess and Roderick D. McKenzie",73285
"The bombardier, and pocket gunner, by Ralph Willett Adye",73283
"The birds of Shakespeare, by Archibald Geikie",73281
"The frantic master, by Douglas Pulleyne",73273
"Essentials of prayer, by Bounds Edward McKendree",73271
"The waning of a world, by W. Elwyn Backus",73270
"Behind the bronze door, by William Le Queux",73266
"Timotheus; or, the future of the theatre, by Bonamy Dobree",73264
"The works of the Rev. John Wesley, Vol. 7 of 32",73261
"Horses, by Roger Pocock",73259
"Afghanistan, by Angus Hamilton",73258
"The crooked cross, by Charles J. Dutton",73254
"Life in a tub; with a description of the Turkish bath, by Diogenes",73251
"There is a Tide, by J. C. Snaith",73250
"Magic, by H. de Vere Stacpoole",73248
"Old harmless, by Roy Norton",73247
"The secret of Oaklands, by M. Harding Kelly",73245
"Salvage, by Roy Norton",73244
"The trap, by Henry S. Whitehead",73243
"The haunter of the dark, by H. P. Lovecraft",73233
"The great implication, by Stanley R. Lee",73231
"The thing on the doorstep, by H. P. Lovecraft",73230
"Notes on the natural history of the Bell Rock, by J. M. Campbell",73228
"The wellsprings of space, by Albert Teichner",73226
"The mill house mystery, by Florence Warden",73223
"The journal of Elizabeth Lady Holland, Volume 1 of 2, 1791-1811",73222
"Anti-Semitism in the United States, by Lee J. Levinger",73221
"The American Red Cross Bulletin, Vol. 4, No. 4, October 1909,",73219
"Saknarth, by Millard Verne Gordon",73218
"Mission, by John Hollis Mason",73217
"History of the Moorish Empire in Europe, Vol. 2 of 3, by S. P. Scott",73214
"Ida's new shoes, by Madeline Leslie",73213
"The Morgan trail, by W. C. Tuttle",73207
"History of the Moorish Empire in Europe, Vol. 1 of 3, by S. P. Scott",73203
"An altruist, by Ouida",73201
"Too dearly bought, by Agnes Giberne",73196
"The court of Louis XV, by Imbert de Saint-Amand",73192
"La Turque, by Eugène Montfort",73191
"Poems and Translations, by John M. Synge",73189
"Possession, by Louis Bromfield",73188
"Memoirs of James Hardy Vaux. Written by himself,",73187
"Hephæstus; or, The Soul of the Machine, by Edmund Edward Fournier d'Albe",73186
"Four years in Upper Burma, by W. R. Winston",73184
"The quest of Iranon, by H. P. Lovecraft",73182
"The shadow over Innsmouth, by H. P. Lovecraft",73181
"Crisis!, by Cecil Corwin",73178
"Cool air, by H. P. Lovecraft",73177
"Lord Byron as a satirist in verse, by Claude M. Fuess",73176
"Static, by Wallace West",73175
"Old lamps for new, by E. V. Lucas",73174
"The Pardoner's Wallet, by Samuel McChord Crothers",73172
"Betty Wales decides, by Margaret Warde and Eva M. Nagel",73169
"Captain Margaret, by John Masefield",73167
"A primal woman, by H. de Vere Stacpoole",73158
"William Pitt and national revival, by John Holland Rose",73157
"Ashes to Ashes, by Isabel Ostrander",73155
"Hypatia; or, woman and knowledge, by Dora Russell",73154
"Notes on democracy, by H. L. Mencken",73150
"The pelicans, by E. M. Delafield",73149
"Pogo Planet, by Martin Pearson",73148
"The legacy, by Dick Hank",73147
"Forbidden flight, by Chester B. Conant",73146
"The thought-feeders, by R. R. Winterbotham.",73145
"Lady Chatterley's lover, by D. H. Lawrence",73144
"Books and Authors, by Robert Lynd",73139
"The atom curtain, by Nick Boddie Williams",73135
"Araminta, by J. C. Snaith",73133
"Early German music in Philadelphia, by Robert Rutherford Drummond",73127
"Mystery at Lynden Sands, by J. J. Connington",73126
"The Black Panther of the Navaho, by Warren H. Miller",73125
"Voltaire's history of Charles XII, king of Sweden",73122
"Little Miss Mouse, by Amy E. Blanchard",73121
"The house of bondage, by Reginald Wright Kauffman",73115
"Henry Northcote, by John Collis Snaith",73110
Sonnets and madrigals of Michelangelo Buonarroti,73109
"William Jordan, Junior, by J. C. Snaith",73096
"Swedish fairy tales, by Herman Hofberg",73093
"The taking of Cloudy McGee, by W. C. Tuttle",73091
"Up from Methodism, by Herbert Asbury",73085
"The soul of Henry Jones, by Ray Cummings",73079
"The somnolence of Somers, by Frank N. Stratton",73072
"In Korea with Marquis Ito, by George Trumbull Ladd",73071
"Gita and gospel, by John Nicol Farquhar",73070
"A history of the Peninsular War, Vol. 6, by Charles Oman",73069
"Too much progress for Piperock, W. C. Tuttle",73065
"The gospel of freedom, by Robert Herrick",73056
"Island honor, by Murray Leinster",73053
"Greatest wonders of the world, by Esther Singleton",73052
"The well of loneliness, by Radclyffe Hall",73042
"Compromises, by Agnes Repplier",73041
"The reality of prayer, by Edward Bounds",73032
"Half loaves, by Margaret Culkin Banning",73029
"The soul of the moving picture, by Walter S. Bloem",73028
"Percival's picture gallery, by A. L. O. E.",73027
"Robert Merry's museum, Volumes 3 and 4, 1842, by Various",73026
"The Writings of Clement of Alexandria, Volume 2 of 2",73020
"Pomona; or, the future of English, by Basil de Silincourt",73017
"Anne Page, by Netta Syrett",73015
"The Mediaeval Stage, Volume 1 of 2, by E. K. Chambers",73000
"The suspicions of Ermengarde, by Maxwell Gray",72999
"Worth his while, by Amy E. Blanchard",72998
The treatise of Benvenuto Cellini on goldsmithing and sculpture,72995
"Jinrikisha days in Japan, by Eliza Ruhamah Scidmore",72989
"Religion and ceremonies of the Lenape, by Mark Raymond Harrington",72988
"Michael Robartes and the dancer, by William Butler Yeats",72987
"The Cheyne mystery, by Freeman Wills Crofts",72986
"The tower, by William Butler Yeats",72985
"Philosophy, by Bertrand Russell",72981
"Introduction to Sally, by Elizabeth von Arnim",72979
"Money for nothing, by P. G. Wodehouse",72972
"A Dead Man's Diary Written After His Decease, by Coulson Kernahan",72971
"The girl from nowhere, by Mrs. Baillie Reynolds",72969
"Chalk face, by Waldo Frank",72967
"The horror at Red Hook, by H. P. Lovecraft",72966
"The nature of the physical world, by Arthur Stanley Eddington",72963
"Buddenbrooks, Volume 2 of 2, by Thomas Mann",72962
"Buddenbrooks, Volume 1 of 2, by Thomas Mann",72961
"Shipwrecks on Cape Cod, by Isaac M. Small",72960
"The aristocrats, by Gertrude Atherton",72957
"The Girl's Own Paper, Vol. 8, No. 377, March 19, 1887, by Various",72955
"Annihilation, by Isabel Ostrander",72948
"Mrs. Harter, by E. M. Delafield",72945
"When the Sun went out, by Leslie F. Stone",72943
"Rhythm rides the rocket, by Bob Olsen",72942
"The Review, Volume 1, No. 9, September 1911, by Various",72941
"Tarzan, lord of the jungle, by Edgar Rice Burroughs",72938
"Miss Devereux, spinster, by Agnes Giberne",72933
"Korea, by Angus Hamilton",72932
"The juggler, by Charles Egbert Craddock",72930
"Ten minute stories, by Algernon Blackwood",72928
"The murders in Praed Street, by John Rhode",72926
"Social Civics, by William Bennett Munro",72924
"Illustrations of Political Economy, Vol. 6 of 9, by Harriet Martineau",72923
"Authors and their public in ancient times, by Geo. Haven Putnam",72922
"The flight of the heron, by D. K. Broster",72918
"The man on the meteor, by Ray Cummings",72914
"Beyond the stars, by Ray Cummings",72913
"On the art of writing fiction, by Various",72910
"The cardinal's musketeer, by Mary Imlay Taylor",72908
"The way of the spirit, by H. Rider Haggard",72906
"Within these walls, by Rupert Hughes",72904
"Songs of Ukraina, with Ruthenian poems, by Florence Randal Livesay",72903
"On the mode of communication of cholera, by John Snow",72894
"Captain fly-by-night, by Johnston McCulley",72893
"The wild fawn, by Mary Imlay Taylor",72891
"The eternal moment and other stories, by E. M. Forster",72890
"Infantry training, 1905, by Anonymous",72886
"The Layton Court mystery, by Anthony Berkeley",72883
"The A B C of atoms, by Bertrand Russell",72875
"He swallows gold, by H. Bedford-Jones",72871
"Meet the Tiger, by Leslie Charteris",72869
"The glory of the Pharaohs, by Arthur Weigall",72865
Flowers and fruit from the writings of Harriet Beecher Stowe,72864
"The Pennant, by Everett T. Tomlinson",72863
"Ships of the seven seas, by Hawthorne Daniel",72859
"The unpleasantness at the Bellona Club, by Dorothy L. Sayers",72855
"The invading asteroid, by Manly Wade Wellman",72854
"The age of the crusades, by James M. Ludlow",72852
"Masterpieces of the masters of fiction, by William Dudley Foulke",72848
"Blackwood's Edinburgh magazine, Vol. 93, No. 571, May, 1863, by Various",72838
"Blackwood's Edinburgh magazine, Vol. 71, No. 439, May, 1852, by Various",72837
"The island of stone money, by William Henry Furness",72830
"A candle in the wind, by Mary Imlay Taylor",72828
"Captain Shannon, by Coulson Kernahan",72825
"The mystery of the blue train, by Agatha Christie",72824
"Famous composers and their works, Vol. 3 of 4, by Various",72822
"The man who won, by Mrs. Baillie Reynolds",72820
"Warships and their story, by Richard A. Fletcher",72817
"The case with nine solutions, by J. J. Connington",72816
"An imperial lover, by Mary Imlay Taylor",72814
"Port Sunlight, by T. Raffles Davison",72812
"Idylls of the Skillet Fork, by Payson S. Wild",72807
"American Indian Weekly Vol. 1, No. 2, by Spencer Dair",72803
"Ten years in Burma, by Julius Smith",72797
"On the Constitution of Atoms and Molecules, by Niels Bohr",72787
"Of holy disobedience, by A. J. Muste",72786
"As a thief in the night, by R. Austin Freeman",72782
"The unwelcome man, by Waldo David Frank",72781
"Flowers and their friends, by Margaret Warner Morley",72776
"Lavinia, by Rhoda Broughton",72772
"The Rambler Club's House-Boat, by W. Crispin Sheppard",72766
"Keep Happy, by Eustace Miles",72765
"The Mongols in Russia, by Jeremiah Curtin",72764
"A commentary on Ecclesiastes, by Thomas Pelham Dale",72761
"The Corsair in the war zone, by Ralph Delahaye Paine",72760
"A British army, as it was, is, and ought to be, by James Campbell",72747
"Miss Cheyne of Essilmont, Volume 3 of 3, by James Grant",72745
"Miss Cheyne of Essilmont, Volume 2 of 3, by James Grant",72744
"Miss Cheyne of Essilmont, Volume 1 of 3, by James Grant",72743
"A Christmas prayer, by James William Foley",72742
"Oranges and lemons, by Mary C. E. Wemyss",72741
"Travels into North America, Volume 3 of 3, by Pehr Kalm",72737
"Machine gun manual, by H. Douglas",72736
"Jamaica Anansi Stories, by Martha Warren Beckwith",72735
"The life of Florence Nightingale, by Sarah A. Southall Tooley",72732
"A drunk man looks at the thistle, by Hugh MacDiarmid",72731
"A history of the University of Oxford, by George Charles Brodrick",72729
"Beryl's triumph, by Eglanton Thorne",72721
"The Greene murder case, by S. S. Van Dine",72719
"The Spider's Web, by St. George Rathborne",72718
"Illiterate Digest, by Will Rogers",72717
"The evolution of climate, by Charles Ernest Pelham Brooks",72714
"Blind Tim and other Christmas stories, by C. O. Solberg",72713
"Sea curse, by Robert E. Howard",72707
"Transient, by Ward Moore",72706
"The 'Scots Brigade' and other tales, by James Grant",72700
"Mammy's baby, by Amy Ella Blanchard and Ida Waugh",72695
"Rose, Blanche, and Violet, Volume 3 of 3, by G. H. Lewes",72682
"Rose, Blanche, and Violet, Volume 2 of 3, by G. H. Lewes",72681
"Rose, Blanche, and Violet, Volume 1 of 3, by G. H. Lewes",72680
"Christine of the hills, by Max Pemberton",72678
"The amateur crime, by Anthony Berkeley Cox",72675
"The mis-rule of three, by Florence Warden",72669
"A time to die, by Harold Calin",72662
"Penelope: or, Love's Labour Lost, Vol. 3 of 3, by William Pitt Scargill",72660
"The principles and practice of modern surgery, by Roswell Park",72658
"Continental stagecraft, by Kenneth MacGowan and Robert Edmund Jones",72655
"The displaying of supposed witchcraft, by John Webster",72654
"May Fair, by Michael Arlen",72651
"Better babies and their care, by Anna Steese Richardson",72648
"Dorothy Dale to the rescue, by Margaret Penrose",72644
"Dusty answer, by Rosamond Lehmann",72642
"Our coming world, by Alfred Charles Michaud",72638
"Eight brand new bits of Christmas cheer, by John Kendrick Bangs",72633
"The Camp Fire Girls on the edge of the desert, by Margaret Vandercook",72632
"The curse of the Reckaviles, by Walter S. Masterman",72629
"The witchcraft delusion of 1692, by Thomas Hutchinson",72626
"Our Christmas party, by Old Merry",72621
"The sane men of Satan, by Jacques Jean Ferrat",72615
"The missionary, by J. F. Bone",72614
"Uncle Wiggily's fishing trip, by Howard R. Garis",72612
"Black April, by Julia Peterkin",72611
"Elmer Gantry, by Sinclair Lewis",72609
"The Vanguard of Venus, by Landell Bartlett",72597
"The last vial, by Sam McClatchie",72589
"The viaduct murder, by Ronald A. Knox",72585
"The little book of British quadrupeds, by W. May",72582
"A moment of madness, and other stories, Vol. 3 of 3, by Florence Marryat",72576
"A moment of madness, and other stories, Vol. 2 of 3, by Florence Marryat",72575
"The mother's recompense, by Edith Wharton",72573
"Computers, the machines we think with, by Daniel S. Halacy",72572
"Munsey's Magazine, Vol. 6, No. 1, October 1891, by Various",72571
"Recalled To life, by Robert Silverberg",72569
"The programmed people, by Jack Sharkey",72565
"This marrying, by Margaret Culkin Banning",72563
"Sink or swim? vol. 3 of 3, by Matilda Charlotte Houston",72562
"Sink or swim? vol. 2 of 3, by Matilda Charlotte Houston",72561
"Sink or swim? vol. 1 of 3, by Matilda Charlotte Houston",72560
"Life's little stage, by Agnes Giberne",72559
"Wesblock, the autobiography of an automaton, by Harry McDonald Walters",72556
"A long way back, by Ben Bova",72553
"Viva Mexico!, by Charles Macomb Flandrau",72552
"The alligator and its allies, by Albert M. Reese",72548
Thomas Nast's Christmas drawings for the human race,72546
"On books and arts, by Frederick Wedmore",72545
"The doctor, &c., vol. 6 of 7, by Robert Southey",72540
"Trajectory to Taurus, by Les Collins",72539
"A jar of jelly beans, by Franklin Gregory",72538
"Divvy up, by Milt Lesser",72537
"Text book of veterinary medicine, Vol. 3 of 5, by James Law",72531
"Thicker than water, by W. C. Tuttle",72528
"Nightmare tower, by Jacques Jean Ferrat",72522
"The minister had to wait, by Roger Dee",72518
"Little men of space, by Frank Belknap Long",72517
"The Normans in European history, by Charles Homer Haskins",72514
"Ten years after: a reminder, by Philip Gibbs",72512
"The book of hats and caps, by M. Elliott",72511
"Prejudices, fifth series, by H. L. Mencken",72510
"The Maugham Obsession, by August Derleth",72507
"Listen, children, listen, by Wallace West",72506
"Finders keepers, by Milton Lesser",72504
"The spirit of American sculpture, by Adeline Adams",72502
"War in Heaven, by Fletcher Pratt",72498
"Date of publication, 2083 A.D., by William Morrison",72497
"The small bears, by Gene L. Henderson",72496
"A brief course in the teaching process, by George Drayton Strayer",72495
"Points of friction, by Agnes Repplier",72490
"Nightmare on the nose, by Evelyn E. Smith",72489
"Industrial and commercial South America, by Annie Smith Peck",72488
"Everybody knows Joe, by C. M. Kornbluth",72485
"The vertigo hook, by Richard Ashby",72483
"Modern cookery for private families, by Eliza Acton",72482
"The fetish folk of West Africa, by Robert H. Milligan",72480
"These charming people, by Michael Arlen",72477
"Spellbinders, by Margaret Culkin Banning",72473
"Ara vus prec, by T. S. Eliot",72472
"The Fayûm and Lake Mœris, by Robert Hanbury Brown",72471
"The journal of prison discipline and philanthropy, by Unk Unk",72469
"The life of John Worth Kern, by Claude G. Bowers",72468
"Charles Dickens and other Victorians, by Arthur Quiller-Couch",72466
"Mirror for Magistrates, Vol. 2 of 2 Part 2, by Various",72465
"Mirror for Magistrates, Vol. 2 of 2 Part 1, by Various",72464
"Mirror for Magistrates, Vol. 1 of 2, by Various",72463
"The rasp, by Philip MacDonald",72462
"Over the Santa Fé Trail, 1857, by William Barclay Napton",72461
"Blackwood's Edinburgh magazine, Vol. 75, No. 462, April 1854, by Various",72457
"Childhood's happy home and other verses, by Lemuel Kayhart",72456
"What the wind did, by Amy Le Feuvre",72454
"Scheherazade: a London night's entertainment, by Florence Warden",72450
"The writing of fiction, by Edith Wharton",72446
"Parents and children, by Charlotte M. Mason",72445
"The crime at Vanderlynden's, by R. H. Mottram",72444
"Betty Crocker picture cooky book, by Anonymous",72443
"The life of Poggio Bracciolini, by William Shepherd",72437
"Varia, by Agnes Repplier",72434
"Pyramids of snow, by Edith Metcalfe",72428
"The Survey, Vol. 30, Number 6, May 10, 1913, by Paul Underwood Kellogg",72427
"The Survey, Volume 30, Number 24, Sep 13, 1913, by Various",72425
"For service rendered, by J.F. Bone",72422
"Beside the golden door, by Henry Slesar",72420
"The Survey, Volume 30, Number 2, Apr 12, 1913, by Various",72417
"Rhymes of Old Plimouth, by Herbert Randall",72416
"The spirit of Toffee, by Charles F. Myers",72415
"The glories of Mary, by St. Alphonsus Liguori",72411
"The walls, by Keith Laumer",72410
"Jupiter found, by Robert F. Young",72408
"The god on the 36th floor, by Herbert D. Kastle",72407
"Early Autumn, by Louis Bromfield",72406
"And both were young, by Madeleine L'Engle",72403
"Essays on things, by William Lyon Phelps",72395
"Home-made cider vinegar, by Walter Sackett",72394
"The inverted pyramid, by Bertrand W. Sinclair",72392
"I bring fresh flowers, by Robert F. Young",72390
"Utopia? Never!, by Thomas M. Disch",72389
"The house, by Henry Bordeaux",72388
"The Delinquent, Vol. 4, No. 6, June, 1914, by Various",72387
"Radio mates, by Benjamin Witwer",72380
"A voice from the inner world, by A. Hyatt Verrill",72379
"The emperor's candlesticks, by Emmuska Orczy",72374
"The fool of the family, by Bracebridge Hemyng",72372
"Early Quaker education in Pennsylvania, by Thomas Woody",72371
"Jnâna Yoga, Part II: Seven Lectures, by Swâmi Vivekânanda",72368
"The Star Woman, by H. Bedford-Jones",72367
"At home in the Smokies, by National Park Service",72365
"In the name of Time, by Various",72364
"The golden story book, by Various",72362
"The Indian operation of couching for cataract, by Robert Henry Elliot",72361
"A year in Russia, by Maurice Baring",72360
"The Caravaners, by Elizabeth von Arnim",72356
"Watch and ward, by Henry James",72355
"Mr. Jervis, Vol. 3 of 3, by Bithia Mary Croker",72342
"Rare days in Japan, by George Trumbull Ladd",72341
"The old English dramatists, by James Russell Lowell",72335
"Mr. Belloc objects to ""The outline of history"", by H. G. Wells",72333
"The Cambridge Natural History, Vol. 6 of 10, by David Sharp",72331
"Travels of Lady Hester Stanhope, Vol. 3 of 3, by Charles Lewis Meryon",72329
